category,english,lummi,part_of_speech,context_notes,source
vocabulary,a dressed skin,hül-la-kan,noun,N/A,original
vocabulary,above,se-suk′tl,noun,N/A,original
vocabulary,adze,s'chüm′mün,noun,N/A,original
vocabulary,afraid,sái-sin,noun,N/A,original
vocabulary,after,il-kwâ-wüs,noun,N/A,original
vocabulary,afternoon,Skwey'el,noun,N/A,original
vocabulary,alder,skwang-l'tch,noun,N/A,original
vocabulary,alive,"hal-ikh, hal-lé",noun,N/A,original
vocabulary,all,"makw, mokw",noun,N/A,original
vocabulary,also,Tl'al,noun,N/A,original
vocabulary,always,"wai, wa-hái, o-wái-la;",noun,N/A,original
vocabulary,am,Do,noun,N/A,original
vocabulary,and,I,noun,N/A,original
vocabulary,and you,I' tse nekw,noun,N/A,original
vocabulary,anemone,SLhoLex,noun,N/A,original
vocabulary,angry,kwin-tün,noun,N/A,original
vocabulary,animals,TetoseLnexw,noun,N/A,original
vocabulary,arbutus ( a. menzesii ),kō-kwéltsh,noun,N/A,original
vocabulary,arm,ta′lo;,noun,N/A,original
vocabulary,arrow,yitcht,noun,N/A,original
vocabulary,ashes,kwái-chp,noun,N/A,original
vocabulary,at,"_to be at_, lä-si _or_ lak-si;",noun,N/A,original
vocabulary,atlas joint,kük-kak-w'chis,noun,N/A,original
vocabulary,aunt,shé-ilsh,noun,N/A,original
vocabulary,autumn,"chits-at-lin, tsa-whéngst",noun,N/A,original
vocabulary,axe,"ku′küm. (küm-müt, _to chop_.)",noun,N/A,original
vocabulary,back,"_the_, stas-kwitl",noun,N/A,original
vocabulary,bad,"h'äs, s'häs",noun,N/A,original
vocabulary,bag  or sack ,chu-kwal′,noun,N/A,original
vocabulary,bail a boat,"_to_, chi-kwást;",noun,N/A,original
vocabulary,( in simiamoo ),kwül′lüt,noun,N/A,original
vocabulary,bald,ko′a-lekw,noun,N/A,original
vocabulary,bald eagle,yükh-wül-la,noun,N/A,original
vocabulary,barberry,skwâ-cha-sitsh,noun,N/A,original
vocabulary,bark,"_of the fir_, chül′li;",noun,N/A,original
vocabulary,barnacle,süm-mai-ya,noun,N/A,original
vocabulary,barnacles,Tsemie,noun,N/A,original
vocabulary,basket,"_potato basket_, kl-päk;",noun,N/A,original
vocabulary,be,"_to_, _See ""at,"" ""live.""_",verb,N/A,original
vocabulary,be quiet,semexw,verb,N/A,original
vocabulary,beach birds,"small snipe (_?generic_), pel-latsh, skeks",noun,N/A,original
